nome,username,email,senha,role,telefone
Ana Costa,anacosta,ana.costa@email.com,Nahari3000,ADMIN,912345678
João Silva,joaosilva1,joao.silva1@email.com,Nahari3000,PROPRIETARIO,923456789
Maria Souza,mariasouza1,maria.souza1@email.com,Nahari3000,PROPRIETARIO,934567890
Pedro Almeida,pedroalmeida1,pedro.almeida1@email.com,Nahari3000,PROPRIETARIO,945678901
Lucas Ferreira,lucasferreira1,lucas.ferreira1@email.com,Nahari3000,PROPRIETARIO,956789012
Beatriz Lima,beatrizlima1,beatriz.lima1@email.com,Nahari3000,PROPRIETARIO,967890123
Carlos Mendes,carlosmendes1,carlos.mendes1@email.com,Nahari3000,PROPRIETARIO,978901234
Sofia Pereira,sofiapereira1,sofia.pereira1@email.com,Nahari3000,PROPRIETARIO,989012345
Rafael Santos,rafaelsantos1,rafael.santos1@email.com,Nahari3000,PROPRIETARIO,990123456
Julia Oliveira,juliaoliveira1,julia.oliveira1@email.com,Nahari3000,PROPRIETARIO,901234567
Gabriel Rocha,gabrielrocha1,gabriel.rocha1@email.com,Nahari3000,PROPRIETARIO,912345670
Fernanda Dias,fernandadias1,fernanda.dias1@email.com,Nahari3000,PROPRIETARIO,923456781
Thiago Nunes,thiagounes1,thiago.nunes1@email.com,Nahari3000,PROPRIETARIO,934567892
Larissa Gomes,larissagomes1,larissa.gomes1@email.com,Nahari3000,PROPRIETARIO,945678903
Bruno Costa,brunocosta1,bruno.costa1@email.com,Nahari3000,PROPRIETARIO,956789014
Camila Ribeiro,camilaribeiro1,camila.ribeiro1@email.com,Nahari3000,PROPRIETARIO,967890125
Diego Martins,diegomartins1,diego.martins1@email.com,Nahari3000,PROPRIETARIO,978901236
Paula Lima,paulalima1,paula.lima1@email.com,Nahari3000,PROPRIETARIO,989012347
Marcos Souza,marcossouza1,marcos.souza1@email.com,Nahari3000,PROPRIETARIO,990123458
Renata Almeida,renataalmeida1,renata.almeida1@email.com,Nahari3000,PROPRIETARIO,901234569
Vinicius Silva,viniciussilva1,vinicius.silva1@email.com,Nahari3000,PROPRIETARIO,912345671
Aline Ferreira,alineferreira1,aline.ferreira1@email.com,Nahari3000,PROPRIETARIO,923456782
Eduardo Mendes,eduardomendes1,eduardo.mendes1@email.com,Nahari3000,PROPRIETARIO,934567893
Tatiana Santos,tatianasantos1,tatiana.santos1@email.com,Nahari3000,PROPRIETARIO,945678904
Roberto Lima,robertolima1,roberto.lima1@email.com,Nahari3000,PROPRIETARIO,956789015
Letícia Oliveira,leticiaoliveira1,leticia.oliveira1@email.com,Nahari3000,PROPRIETARIO,967890126
Gustavo Rocha,gustavorocha1,gustavo.rocha1@email.com,Nahari3000,PROPRIETARIO,978901237
Carolina Dias,carolinadias1,carolina.dias1@email.com,Nahari3000,PROPRIETARIO,989012348
André Nunes,andrenunes1,andre.nunes1@email.com,Nahari3000,PROPRIETARIO,990123459
Mariana Gomes,marianagomes1,mariana.gomes1@email.com,Nahari3000,PROPRIETARIO,901234560
José Silva,josesilva1,jose.silva1@email.com,Nahari3000,INQUILINO,912345672
Clara Souza,clarasouza1,clara.souza1@email.com,Nahari3000,INQUILINO,923456783
Felipe Almeida,felipealmeida1,felipe.almeida1@email.com,Nahari3000,INQUILINO,934567894
Laura Ferreira,lauraferreira1,laura.ferreira1@email.com,Nahari3000,INQUILINO,945678905
Matheus Costa,matheuscosta1,matheus.costa1@email.com,Nahari3000,INQUILINO,956789016
Isabela Lima,isabelalima1,isabela.lima1@email.com,Nahari3000,INQUILINO,967890127
Ricardo Mendes,ricardomendes1,ricardo.mendes1@email.com,Nahari3000,INQUILINO,978901238
Vanessa Pereira,vanessapereira1,vanessa.pereira1@email.com,Nahari3000,INQUILINO,989012349
Leonardo Santos,leonardosantos1,leonardo.santos1@email.com,Nahari3000,INQUILINO,990123450
Patrícia Oliveira,patriciaoliveira1,patricia.oliveira1@email.com,Nahari3000,INQUILINO,901234561
Tiago Rocha,tiagorocha1,tiago.rocha1@email.com,Nahari3000,INQUILINO,912345673
Helena Dias,helenadias1,helena.dias1@email.com,Nahari3000,INQUILINO,923456784
Vitor Nunes,vitornunes1,vitor.nunes1@email.com,Nahari3000,INQUILINO,934567895
Bianca Gomes,biancagomes1,bianca.gomes1@email.com,Nahari3000,INQUILINO,945678906
Daniel Costa,danielcosta1,daniel.costa1@email.com,Nahari3000,INQUILINO,956789017
Natália Ribeiro,nataliaribeiro1,natalia.ribeiro1@email.com,Nahari3000,INQUILINO,967890128
Fábio Martins,fabiomartins1,fabio.martins1@email.com,Nahari3000,INQUILINO,978901239
Lívia Lima,livialima1,livia.lima1@email.com,Nahari3000,INQUILINO,989012340
Samuel Souza,samuelsouza1,samuel.souza1@email.com,Nahari3000,INQUILINO,990123451
Rafaela Almeida,rafaelaalmeida1,rafaela.almeida1@email.com,Nahari3000,INQUILINO,901234562
Alexandre Silva,alexandresilva1,alexandre.silva1@email.com,Nahari3000,INQUILINO,912345674
Jéssica Ferreira,jessicaferreira1,jessica.ferreira1@email.com,Nahari3000,INQUILINO,923456785
Guilherme Mendes,guilhermemendes1,guilherme.mendes1@email.com,Nahari3000,INQUILINO,934567896
Priscila Santos,priscilasantos1,priscila.santos1@email.com,Nahari3000,INQUILINO,945678907
Marcelo Lima,marcelolima1,marcelo.lima1@email.com,Nahari3000,INQUILINO,956789018
